Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18
38,486.2668151855469,3055.3045085428394,33486446.0,-4237499.0,33753495.57432411,-7.212086879278547,-1386.931806028389,7.723886624739866e-11,33486446.0,1386.9318060283892,-7.723886624739866e-11,33486446.0,-0.1265437066686623,7.9024080005682595,-4237499.0,2.986282867999787e-08,-2.3598825628041445e-07
39,572.1813354492188,3595.1213599369253,33390400.0,-3493223.75,33572629.0946593,-5.972421511571057,-971.6566981375246,7.962694255909397e-11,33390400.0,971.6566981375246,-7.962694255909397e-11,33390400.0,-0.10461760715654798,9.558620457678957,-3493223.75,2.994872777804399e-08,-2.862685220206693e-07
40,673.462646484375,4231.490605324905,33145430.0,-2813149.5,33264595.894047026,-4.8512340450973985,-664.8128903937384,8.40066770882277e-11,33145430.0,664.8128903937385,-8.40066770882277e-11,33145430.0,-0.08487292214944865,11.782320847150144,-2813149.5,3.017007171124345e-08,-3.5547346488339847e-07
41,792.4391479492188,4979.042011228442,33253986.0,-3395615.0,33426902.13161281,-5.830351180732885,-681.9815925116537,5.91474146038508e-11,33253986.0,681.9815925116536,-5.91474146038508e-11,33253985.999999996,-0.10211151830039263,9.793214483974184,-3395615.0,3.007158299759915e-08,-2.944974621681198e-07
42,932.6031494140625,5859.718405827846,33215638.0,-2180680.25,33287144.276729178,-3.7562044167037403,-372.1476185325187,7.825845390820113e-11,33215638.0,372.14761853251866,-7.825845390820113e-11,33215638.0,-0.0656522162843899,15.231778249011978,-2180680.25,3.010630113442349e-08,-4.5857250277751635e-07
43,1097.447265625,6895.464534779413,33320512.0,-2424010.25,33408566.94972487,-4.160840123018831,-351.5369033911715,5.982766028330404e-11,33320512.0,351.5369033911715,-5.982766028330404e-11,33320512.0,-0.07274828940203559,13.74602768284499,-2424010.25,3.0011543640145746e-08,-4.1253950968235384e-07
44,1291.5115966796875,8114.80668830986,33373308.0,-1557575.625,33409635.267246753,-2.672129410274217,-191.94241894188727,7.911752252525378e-11,33373308.0,191.9424189418873,-7.911752252525378e-11,33373308.000000004,-0.04667129866179283,21.426444703126375,-1557575.625,2.9964065893617735e-08,-6.420234009504354e-07
45,1519.91845703125,9549.929317329817,33252660.0,-1314282.875,33278622.81632337,-2.2633884592563582,-137.6222620428228,7.967296758590608e-11,33252660.0,137.6222620428228,-7.967296758590608e-11,33252660.0,-0.03952414257987181,25.30099161491395,-1314282.875,3.0072782147353025e-08,-7.608712089473128e-07
46,1788.6051025390625,11238.137300619876,33162032.0,-1087998.625,33179875.035584837,-1.8791181718800645,-96.81307461335145,8.178568957137694e-11,33162032.0,96.81307461335143,-8.178568957137693e-11,33162032.0,-0.03280856326898183,30.479847343557076,-1087998.625,3.0154967584616046e-08,-9.191188086290091e-07
47,2104.905517578125,13225.511421048117,33202116.0,-979869.8125,33216571.944240496,-1.6904378538598195,-74.08937025607632,7.716478435374692e-11,33202116.0,74.08937025607632,-7.716478435374693e-11,33202115.999999996,-0.02951227001616403,33.88421153141709,-979869.8125,3.0118562322955563e-08,-1.020543736773195e-06
